Custom Method must start with one of these prefixes: {0},El método personalizado debe comenzar con uno de estos prefijos: {0}
Draft notification rule is missing.,Falta la regla de notificación de borrador.
Message,Mensaje
New Notification,Nueva notificación
No response,Sin respuesta
Not permitted,No permitido
Only failed draft notification logs can be retried.,Solo los registros de notificaciones fallidos pueden reintentarse.
private chat message,mensaje privado
Reference document is missing.,Falta el documento de referencia.
Reference document no longer exists.,El documento de referencia ya no existe.
request id {0},ID de solicitud {0}
Send,Enviar
Sent.,Enviado.
unknown error,error desconocido
View,Ver
